,comments,clean_comments,prediction
2690,lächerliches eigenlob für unkreativität? schön dass ihr veganes macht aber eure werbeabteilung ist lächerlich ,lach eigenlob unkreativitat ? schon vegan macht werbeabteil lach,1
2702,"Verdient! Das unterschreibe ich so. Eure veganen Alternativen schmecken super. Ihr macht es so grandios vor, dass es funktioniert und schmeckt! Euer Hack ist zB das beste für meine selbstgemachte Lasagne. Mit anderen Herstellern probiert, nur IHR habt mich überzeugt! Danke für eure Produkte!","verdient ! unterschreib . vegan alternativ schmeck sup . macht grandios , funktioniert schmeckt ! hack zb best selbstgemacht lasagn . herstell probiert , habt uberzeugt ! dank produkt !",1
2713, Ihr habt auch wirklich die besten veganen Produkte ,habt wirklich best vegan produkt,1
2715,"Nicht nur Fleisch, sondern auch #Soja, #Weizen und #Erbsen enthalten richtig viel #Protein. Deshalb setzt die Rügenwalder Mühle auf #vegetarische und #vegane Rohstoffe aus der Region – starker Geschmack, stark fürs #Klima. #RügenwalderMühle #regional #fleischauspflanzen","nicht fleisch , # soja , # weiz # erbs enthalt richtig # protein . deshalb setzt rügenwald mühl # vegetar # vegan rohstoff region – stark geschmack , stark für # klima . # rügenwaldermühl # regional # fleischauspflanz",1
2720,und ich lieben euer veganes Hack!! Leider ist es aber ständig ausverkauft  Hiiiilfeee,lieb vegan hack ! ! leid standig ausverkauft hiiiilfee,1
2721,Es wäre toll wenn ihr z.B. die vegane Leberwurst im Gläschen verkaufen würdet anstatt der Plastikverpackung ,war toll z.b . vegan leberwurst glasch verkauf wurdet anstatt plastikverpack,1
2722,"Ihr macht das schon super.  Ich würde mir noch den Käse aus dem Cordon Bleu als Produkt wünschen sowie vegange Wiener, wenn so etwas machbar ist?! Eure vegane Teewurst ist sehr sehr sehr gut geworden. Macht weiterso und noch viel mehr. ","macht schon sup . kas cordon bleu produkt wunsch sowi vegang wien , machbar ? ! vegan teewurst sehr sehr sehr gut geword . macht weiterso mehr .",1
2725,"Hallo  kann man damit rechnen, damit der vegetarische schickenspicker salat irgendwann vegan zu kaufen isz? ","hallo rechn , vegetar schickenspick salat irgendwann vegan kauf isz ?",1
2727,ich wollte einfach mal Dankeschön für all die super leckeren veganen Produkte sagen. Bitte macht so weiter,einfach dankeschon all sup leck vegan produkt sag . bitt macht,1
2730,Eure vegane Teewurst schmeckt absolut fantastisch! Bitte behaltet sie unbedingt im Sortiment!,vegan teewurst schmeckt absolut fantast ! bitt behaltet unbedingt sortiment !,1
2731,Eure vegane Leberwurst und die Salami sind der Hammer. Die überzeugen sogar meinen fleischessenden Freund. Bitte mehr davon ,vegan leberwurst salami hamm . uberzeug sogar fleischess freund . bitt mehr davon,1
2742,"Danke für das vegane Angebot. Endlich kann man Fleischgeschmack ohne tote Tiere konsumieren. Das ist insbesondere für Menschen, die umsteigen auf pflanzliche Ernährung, sehr hilfreich. Es gibt keinen Grund mehr, tierische Produkte zu konsumieren. ","dank vegan angebot . endlich fleischgeschmack tot tier konsumi . insbesond mensch , umsteig pflanzlich ernahr , sehr hilfreich . gibt grund mehr , tierisch produkt konsumi .",1
2743,"Erweitert eure Produkte, gerade Käse aus dem veganen Cordon Bleu. Wir warten drauf. Und bitte grössere Aufmerksamkeit in Discountern.","erweitert produkt , gerad kas vegan cordon bleu . wart drauf . bitt gross aufmerksam discount .",1
2746,Ich liebe eure veganen Produkte! Bitte trotzdem um eine deutlich umweltfreundlichere Verpackung und größere Packungen für die veganen Scheiben.,lieb vegan produkt ! bitt trotzd deutlich umweltfreund verpack gross packung vegan scheib .,1
2753,"Mega geil, und jetzt bitte bitte veganen Fleischsalat, danke ","mega geil , bitt bitt vegan fleischsalat , dank",1
2756,"Liebe Bitte alles auf vegan umstellen und mit den tierischen Produkten Schluss machen. Zusätzlich weniger Verpackung. Dann würdet ihr noch mehr Kunden gewinnen. Ach ja, Bio-Soja wäre noch gut. Round-up resistentes Soja braucht kein Mensch und sote auch in Deutschland nicht angebaut werden.","lieb bitt vegan umstell tierisch produkt schluss . zusatz wenig verpack . wurdet mehr kund gewinn . ach ja , bio-soja war gut . round-up resistent soja braucht mensch sot deutschland nicht angebaut .",1
2757, eure  vegane Salami - der absolute Wahnsinn ,vegan salami - absolut wahnsinn,1
2758,"Ein ""geräucherter"" Aufschnitt nach Mettwurst Art, in vegan wäre auch cool! Eure jetztige vegane Salami schmeckt total ""luftgetrocknet"" wie das Original","`` gerauchert '' aufschnitt mettwurst art , vegan war cool ! jetztig vegan salami schmeckt total `` luftgetrocknet '' original",1
2759,Ich würde mir noch mehr vegane Produkte wünschen und vor allem mehr Produkte ohne Weizen - ist leider nicht ganz so verträglich ,mehr vegan produkt wunsch mehr produkt weiz - leid nicht ganz vertrag,0
2760,eure veganen produkte sind echt lecker ! wenn ihr die würstchen noch von vegetarisch auf vegan umstellt wäre ich überglücklich !,vegan produkt echt leck ! wurstch vegetar vegan umstellt war ubergluck !,1
2763,Bin begeisterter Stammkunde. Früher... also viiiiel früher kaufte ich das fleischhaltige.... jetzt das vegane. Schön das es Euch gibt,begeistert stammkund . fruh ... viiiiel fruh kauft fleischhalt .... vegan . schon gibt,1
2765,"Es wäre großartig, wenn ihr irgendwann ganz auf Tierleid verzichten würdet. Die veganen Produkte sind wirklich lecker! ","war grossart , irgendwann ganz tierleid verzicht wurdet . vegan produkt wirklich leck !",1
2766,"Es wäre echt gut, wenn ihr das mit den Proteinen in den Griff bekommen würdet. Die vegane Salami hat nicht einmal halb soviel Eiweiß wie die vegetarische hatte...","war echt gut , protein griff bekomm wurdet . vegan salami nicht halb soviel eiweiss vegetar ...",1
2770,"liebe das vegane Cordon Bleu!!! Habe vor kurzem das vegane Hähnchengeschnetzeltes probiert, sooo lecker!!! Bin gespannt was noch so kommt, vegane Bratwurst wäre auch toll ","lieb vegan cordon bleu ! ! ! kurz vegan hahnchengeschnetzelt probiert , sooo leck ! ! ! gespannt kommt , vegan bratwurst war toll",1
2771,"So super, dass ihr so viele vegane Produkte produziert mittlerweile ","sup , viel vegan produkt produziert mittlerweil",1
2775,We love your updated vegan nuggets ,we lov your updated vegan nugget,1
2776,"Sorry, aber ich kaufe erst dann eure Produkte, wenn ihr nur noch vegan produziert. Bis zu dem 9 Punkt möchte ich mit meiner Kaufentscheidung kein Unternehmen unterstützen, das weiterhin von der Tötung von Lebewesen profitiert - ihr seid auf dem richtigen Weg, müsst aber noch ankommen.","sorry , kauf erst produkt , vegan produziert . 9 punkt mocht kaufentscheid unternehm unterstutz , weiterhin totung lebewes profitiert - seid richtig , musst ankomm .",1
2787,"Macht bitte weiter so!!! Eure Pfeffer-Salami ist soo lecker  Ich würde mir für die Zukunft wünschen, dass es Frischetheken für vegane Produkte gibt für unverpacktes Einkaufen (für Wurst, Fleisch und Käse gibt's das ja schließlich auch )","macht bitt ! ! ! pfeffer-salami soo leck zukunft wunsch , frischethek vegan produkt gibt unverpackt einkauf ( wurst , fleisch kas gibt 's ja schliesslich )",1
2791,"Ich hab all die Jahre der Teewurst ""hinterher getrauert"", bis ihr damals mit der veganen um die Ecke kamt. Perfekte und leckere Alternative! Jetzt fehlt mir nur noch die vegane Krakauer Alternative und ein Ersatz für ""Schinkenwürfel"" ","all jahr teewurst `` hinterh getrauert '' , damal vegan eck kamt . perfekt leck alternativ ! fehlt vegan krakau alternativ ersatz `` schinkenwurfel ''",1
2799,Würde mir noch mehr vegane Produkte wünschen,mehr vegan produkt wunsch,1
2803,"Wir sind seit längerem schon große Fans dieser wunderbaren,veganen Leckereien!","seit lang schon gross fan wunderbar , vegan leckerei !",1
2806,Mehr vegane Schinken Spicker Sorten BITTE  Grillgemüse schmeckt Bombe!!  Vielleicht mit Schnittlauch auch vegan? Mit Champions oder so vielleicht? ,mehr vegan schink spick sort bitt grillgemus schmeckt bomb ! ! vielleicht schnittlauch vegan ? champion vielleicht ?,1
2807,Hey. Es wäre super wenn ihr den Schinken aus den veganen Cordon bleu separat raus bringen könntet. Der ist echt lecker und Schinken Ersatz ist echt so gut wie nix auf dem Markt. Bittttteee!,hey . war sup schink vegan cordon bleu separat raus bring konntet . echt leck schink ersatz echt gut nix markt . bitttttee !,1
2808,"Hab die Tage durch Zufall gesehen, dass die Salami jetzt endlich auch vegan ist und sie direkt getestet... daaaaanke, die ist mega :) Könnt Ihr die auch noch als ""Wurst am Stück"" raus bringen? Hatte seit über 5 Jahren keine Nudeln mit Salami mehr und wenn ich die Scheiben futtere, bekomme ich wieder Lust darauf! :)","tag zufall geseh , salami endlich vegan direkt getestet ... daaaaank , mega : ) konnt `` wurst stuck '' raus bring ? seit 5 jahr nudeln salami mehr scheib futt , bekomm lust darauf ! : )",1
2809,#rügenwaldermühle #VeganeMühlenCordonBleu #stayathomeandcook #vegan,# rügenwaldermühl # veganemuhlencordonbleu # stayathomeandcook # vegan,1
2811,Die veganen Cordon Bleus sind übrigens der Hammer !!!!  Ich liebe sie !,vegan cordon bleus ubrig hamm ! ! ! ! lieb !,1
2812,Liiiebe das vegane Cordon Bleu so sehr!!! Ihr macht wirklich meine liebsten Fleischersatzprodukte ,liiieb vegan cordon bleu sehr ! ! ! macht wirklich lieb fleischersatzprodukt,1
2817,Wir haben das schon oft gekauft  und jedes Mal sind wir verblüfft wie gut der vegane Käse in diesem Cordon Bleu schmeckt!  Habt ihr dafür eine eigene Rezeptur oder den Käse von einer anderen Firma genommen? ,schon oft gekauft verblufft gut vegan kas cordon bleu schmeckt ! habt dafur eig rezeptur kas firma genomm ?,1
2818,"Die veganen Cordon Bleus sind viel besser wie das ""Original""  ich liebe sie und hatte sie heute zum Mittagessen. ",vegan cordon bleus bess `` original '' lieb heut mittagess .,1
2820,"Liebe - Team, bitte nehmt die veganen Cordon Bleus NIE MEHR aus dem Sortiment. Und bitte bitte macht den vegetarischen Fleischsalat auch vegan. Danke ","lieb - team , bitt nehmt vegan cordon bleus nie mehr sortiment . bitt bitt macht vegetar fleischsalat vegan . dank",1
2821,"Die sind einfach super lecker ich habe mich soooooo unendlich gefreut, dass die vegan geworden sind ich würde mich aber noch mehr über den Schinken Ersatz, der sich in dem cordon bleu befindet, als eigenständige Wurst freuen. Es gibt einfach noch keinen wirklich tollen schinken Ersatz und der von euch schmeckt einfach Bombe ","einfach sup leck soooooo unend gefreut , vegan geword mehr schink ersatz , cordon bleu befindet , eigenstand wurst freu . gibt einfach wirklich toll schink ersatz schmeckt einfach bomb",1
2822,Habe did veganen Cordon Bleus heute zum ersten Mal probiert und war hin und weg! Super lecker! ,did vegan cordon bleus heut erst probiert ! sup leck !,1
2825,"Ich habe soeben schon eine E-Mail gesendet... Mit einer Frage die vegane Teewurst fein schmeckt richtig richtig klasse super gut! Wie alles andere, macht weiter so es ist der Wahnsinn und eine richtig gute Entscheidung in die total richtige Richtung! Nur bei den veganen Produkten würde mich doch sehr interessieren, wieso hinten auf den Angaben dann doch steht, dass es Spuren von Ei enthalten kann? Und wie kann ich herausfinden wie vegan ihre Produkte wirklich sind könnten Sie mir hierzu sogar etwas nähere Infos zu schicken? Das wäre richtig toll und Klasse denn manchmal frage ich mich wenn es so gut schmecken kann und so dem echten nahe kommt, ob wirklich daran alles vegan ist!? Denn vielen Angaben und Qualitätssiegeln von Seiten der Fleischindustrie kann/will und werde ich nicht glauben... Denn da steckt ein riesen Lobby hinter ich hoffe das ist bei euch anders und ich wäre echt überglücklich für eine Antwort eurerseits","soeb schon e-mail gesendet ... frag vegan teewurst fein schmeckt richtig richtig klass sup gut ! , macht wahnsinn richtig gut entscheid total richtig richtung ! vegan produkt sehr interessi , wieso hint angab steht , spur ei enthalt ? herausfind vegan produkt wirklich konnt hierzu sogar nah infos schick ? war richtig toll klass manchmal frag gut schmeck echt nah kommt , wirklich daran vegan ! ? viel angab qualitatssiegeln seit fleischindustri kann/will nicht glaub ... steckt ries lobby hoff war echt ubergluck antwort eurerseit",1
2828,"Leider waren die alten vegetarischen 1000 mal leckerer, als die neuen veganen. Wir hatten sie regelmäßig auf dem Speiseplan und auch mein Mann hat sie gerne mit gegessen. Jetzt isst er wieder nur die Fleischvariante und von meinem Teller sind sie auch wieder verschwunden.","leid alt vegetar 1000 leck , neu vegan . regelmass speiseplan mann gern gegess . isst fleischvariant tell verschwund .",1
2829,"Wie wäre es, einen veganen Käse auf den Markt zu bringen? Ich bin mir sicher euer veganer Käse wird sehr gut ankommen. ","war , vegan kas markt bring ? sich vegan kas sehr gut ankomm .",1
2838,"Hey Rügenwalder, wird der andere Mortadella-ähnliche Aufschnitt auch bald vegan? ","hey rugenwald , mortadella-ahn aufschnitt bald vegan ?",1
2839,Wir sind süchtig nach den veganen Cordon Bleus ,suchtig vegan cordon bleus,1
2841,Eure vegane Teewurst ist sehr lecker! Eigentlich schmecken all eure veganen Alternativen sehr gut ,vegan teewurst sehr leck ! eigent schmeck all vegan alternativ sehr gut,1
2860,"Ich finde, vor dem Wechsel zu vegan haben sie mir besser geschmeckt... jetzt haben sie irgendwie immer diesen Hauch Kokos ","find , wechsel vegan bess geschmeckt ... irgendwi imm hauch kokos",1
2866,"Euer veganes Cordon Bleu ist der Hammer  Und das haben ja schon einige geschrieben, aber hier nochmal: bitte bitte bringt den ""Kochschinken "" raus! ","vegan cordon bleu hamm ja schon geschrieb , nochmal : bitt bitt bringt `` kochschink `` raus !",1
2872,Hallöchen gibt's den Schinken da drin auch irgendwann als veganen Schinken zu kaufen ?,halloch gibt 's schink drin irgendwann vegan schink kauf ?,1
2888,Moin. Warum verkauft ihr die veganen Produkte eigentlich nicht im Kilo-Pack im Supermarkt?,moin . warum verkauft vegan produkt eigent nicht kilo-pack supermarkt ?,0
2932,Ich liebe die veganen Produkte von Rügenwaldermühle ,lieb vegan produkt rugenwaldermuhl,1
2949,"Der vegetarische Fleischsalat sowie die veganen sowie vegetarischen ""Schinken"" spicker sind bei mir momentan ein muss  Ihr erleichtert mir somit die Umstellung auf vegetarisch. Vielen Dank dafür und macht weiter so! ",vegetar fleischsalat sowi vegan sowi vegetar `` schink '' spick momentan erleichtert somit umstell vegetar . viel dank dafur macht !,1
2952,"Ich finde es echt super, dass es eine immer größerer Auswahl an veganen Produkten von euch gibt. Aber ich frage mich etwas weshalb das Hack aussehen muss wie es aussieht  Ich denke die meisten Menschen entscheiden sich bewusst aus verschiedenen Gründen dazu ihren Fleischkonsum zu minimieren oder einzustellen. Warum muss die Alternative dann trotzdem aussehen wie Rinder- oder Schweinehack?  Warum kann es nicht wie die vorherige Version so „braun und bröselig“ bleiben? Ich finde so sieht es von vornherein unappetitlich aus und ich fühle mich nicht angesprochen es essen zu wollen.  Ist wahrscheinlich auch Geschmacksache, aber mich würde einfach mal interessieren weshalb ihr das so macht. ","find echt sup , imm gross auswahl vegan produkt gibt . frag weshalb hack ausseh aussieht denk meist mensch entscheid bewusst verschied grund fleischkonsum minimi einzustell . warum alternativ trotzd ausseh rinder- schweinehack ? warum nicht vorher version „ braun brosel “ bleib ? find sieht vornherein unappetit fuhl nicht angesproch ess . wahrschein geschmacksach , einfach interessi weshalb macht .",1
2960,Eure veganen Produkte sind sooooo lecker ,vegan produkt sooooo leck,1
2964,Euer veganes Mühlenhack ist der Hammer! Danke dafür ,vegan muhlenhack hamm ! dank dafur,1
2966,wann gibt es endlich vegane Chilli Cheese Nuggets....??????,wann gibt endlich vegan chilli chees nugget .... ? ? ? ? ? ?,1
2967,"An sich eine tolle Idee, aber was soll ich als Veganerin mit einem Abonnement eines nicht-veganen Kochmagazins? ","toll ide , veganerin abonnement nicht-vegan kochmagazin ?",1
2976,"Cool, eure veganen Produkte - weiterhin viel Erfolg!","cool , vegan produkt - weiterhin erfolg !",1
2978,"Liebe ! Mein Edeka sagt, es gibt Lieferschwierigkeiten bei den Produkten von euch! Ich versuche seit Wochen, wieder mal an die vegane Teewurst von euch zu kommen (und die gibt's im ganzen Umkreis nur in dem einen Edeka (Wachtberg bei Bonn)). Könnte ihr dazu was sagen? Und gibt's eure Produkte irgendwo online zu bestellen??","lieb ! edeka sagt , gibt lieferschwier produkt ! versuch seit woch , vegan teewurst komm ( gibt 's ganz umkreis edeka ( wachtberg bonn ) ) . sag ? gibt 's produkt irgendwo onlin bestell ? ?",1
2987,"Tolle Werbung, schlechte Nachhaltigkeit. Gift auf den Acker, schlechte Verpackung, komischer Mischkonzern. Das geht sicher konsequenser. Mit der Giftspritze durch die Felder? Ist das vegan?","toll werbung , schlecht nachhalt . gift ack , schlecht verpack , komisch mischkonz . geht sich konsequens . giftspritz feld ? vegan ?",0
2991,Mir schmecken eure veganen Produkte auch sehr gut! Über weitere würde ich mich sehr freuen.... Veganer Fleischsalat wäre wirklich toll ,schmeck vegan produkt sehr gut ! weit sehr freu .... vegan fleischsalat war wirklich toll,1
2997,Ich danke euch für die vegane Produkte  es schmeckt alles so gut ,dank vegan produkt schmeckt gut,1
2999,"Ich bin immer am struggeln ob ich ein Produkt von einem reinem veganem Unternehmen kaufen soll, oder von einem Unternehmen wie eurem, dass zu Teilen immer noch Fleisch produziert und Tiere verarbeitet (Klar natürlich auch von den tollen rein veganen Unternehmen!!<3)...wenn ich aber sehe wie ihr euch immer mehr hin zu einem großen veganen Angebot entwickelt, kaufe ich gerne eure Produkte um ein nicht veganes Unternehmen darauf aufmerksam zu machen, wie hoch die Nachfrage nach veganen Produkten ist und hoffe, dass euer gesamtes Sortiment in Zukunft komplett aus leckeren veganen und umweltfreundlichen Produkten bestehen wird #deineinkaufszettelistdeinstimmzettel Danke euch ","imm struggeln produkt rein vegan unternehm kauf , unternehm , teil imm fleisch produziert tier verarbeitet ( klar natur toll rein vegan unternehm ! ! < 3 ) ... seh imm mehr gross vegan angebot entwickelt , kauf gern produkt nicht vegan unternehm darauf aufmerksam , hoch nachfrag vegan produkt hoff , gesamt sortiment zukunft komplett leck vegan umweltfreund produkt besteh # deineinkaufszettelistdeinstimmzettel dank",1
3005,"Ich habe früher als ich noch jünger (11 Jahre und Vegetarier) eure Produkte schon echt geliebt und bin mittlerweile (17 Jahre) dabei auf vegan umzusteigen und natürlich greife ich da immer wieder besonders gern zu euren Produkten. Sie schmecken unglaublich gut, sind total fair im Preis und wirklich jeden Cent wert. Einfach wundervoll und ich hoffe es kommen noch viele weitere Produkte dazu!! ","fruh jung ( 11 jahr vegetari ) produkt schon echt geliebt mittlerweil ( 17 jahr ) dabei vegan umzusteig natur greif imm besond gern produkt . schmeck unglaub gut , total fair preis wirklich cent wert . einfach wundervoll hoff komm viel weit produkt ! !",1
3008,"Ich finde euch klasse! Vorschlag: veganer Fleischsalat, vegane Rotwurst (die vermisse ich sehr)! Macht weiter so, ohne Fleisch ist die Zukunft der Ernährung","find klass ! vorschlag : vegan fleischsalat , vegan rotwurst ( vermiss sehr ) ! macht , fleisch zukunft ernahr",1
3011,Ich liebe eure Produkte auch sehr . Stellt ihr jetzt eigentlich bei allen Produkten nach und nach auf vegan um? ,lieb produkt sehr . stellt eigent produkt vegan ?,1
3014,Großartiges Unternehmen  ihr seid vielen anderen Marken um so vieles voraus! #govegan,grossart unternehm seid viel mark viel voraus ! # govegan,1
3019, ich liebe Eure veganen Produkte ,lieb vegan produkt,1
3023,Heute ist es soweit: und kochen um 20:15 Uhr gemeinsam Iris' vegane Spaghetti Bolognese mit Champignons live auf dem Instagram-Kanal.  Schaltet unbedingt ein - wir freuen uns auf euch!  #rügenwaldermühle #ichglaubeshackt #VeganesMühlenHack,heut soweit : koch 20:15 uhr gemeinsam iris ' vegan spaghetti bolognes champignon liv instagram-kanal . schaltet unbedingt - freu ! # rügenwaldermühl # ichglaubeshackt # veganesmühlenhack,1
3032,"Werdet ihr euch komplett auf Pflanzenbasis umstellen? Eine zentrale Frage bei den VeganerInnen. Denn es entsteht ein Dilemma, denn eure veganen Produkte zu kaufen bedeutet am Ende auch die Unterstützung Tiere zu töten. Was habt ihr vor?! Könntet ihr das transparent machen?","werdet komplett pflanzenbasis umstell ? zentral frag veganerinn . entsteht dilemma , vegan produkt kauf bedeutet end unterstutz tier tot . habt ? ! konntet transparent ?",1
3033,"Finde eure vegetarischen u veganen Produkte klasse, hätte allerdings ein besseres Gefühl euch zu unterstützen wenn ihr die Fleischproduktion komplett einstellen würdet.. das eine verträgt sich leider nicht mit dem anderen. Habt ihr vor komplett umzustellen?","find vegetar u vegan produkt klass , hatt allerding bess gefuhl unterstutz fleischproduktion komplett einstell wurdet .. vertragt leid nicht . habt komplett umzustell ?",0
3034,Bitte bitte bringt den Käse aus den cordon Bleus auch so raus. Das ist der 1. Gute vegane Käse den ich gegessen habe. Ich weiß ihr macht eigentlich Ersatzfleischprodukte aber der würde gekauft werden wie nix. Weil es einfache keine richtig guten Alternativen gibt nur welche die okay sind.,bitt bitt bringt kas cordon bleus raus . 1 . gut vegan kas gegess . weiss macht eigent ersatzfleischprodukt gekauft nix . einfach richtig gut alternativ gibt okay .,1
3035,"Ich koche gerade mit eurem veganen hack...absolute Hammer, dieser Eigengeschmack ist perfekt, so spart man sich das zusätzliche würzen ","koch gerad vegan hack ... absolut hamm , eigengeschmack perfekt , spart zusatz wurz",1
3037,Danke für eure riesige vegane Auswahl,dank riesig vegan auswahl,1
3038,"hoffentlich kann man das „alte“ vegane Mühlenhack weiterhin kaufen, das schmeckt einfach sehr gut und erinnert optisch auch nicht so sehr an Fleisch.","hoffent „ alt “ vegan muhlenhack weiterhin kauf , schmeckt einfach sehr gut erinnert optisch nicht sehr fleisch .",1
3043,Wieso vegan und nicht mehr vegetarisch? Ist geschmacklich eine Verschlechterung. Die Antwort interessiert mich wirklich,wieso vegan nicht mehr vegetar ? geschmack verschlechter . antwort interessiert wirklich,0
3046,Rügenwalder vegetarisch ist echt unnötig und es freut mich dass immer mehr vegan wird. Super Kurs weiter so.,rugenwald vegetar echt unnot freut imm mehr vegan . sup kur .,1
3048,"Bitte mehr vegane Produkte, die günstiger sind. Der vegane Schinken spicker ist der Hammer","bitt mehr vegan produkt , gunstig . vegan schink spick hamm",1
3050,"Grüner Hintergrund, grüne Pflanzen, grüne Schrift und Mal so eben mit dem Thema Vertrauen befassen. Natürlich glauben wir euch wie damals dem Metzger um die Ecke - den übrigens Supermarkt-Produkte wie dieses haben verschwinden lassen. Der hätte auch keine vegane Wurst verkauft, aus Respekt vor seinem Handwerk. Schon sehr zynisch diese Werbung...","grun hintergrund , grun pflanz , grun schrift eben thema vertrau befass . natur glaub damal metzg eck - ubrig supermarkt-produkt verschwind lass . hatt vegan wurst verkauft , respekt handwerk . schon sehr zynisch werbung ...",1
3057,"Geschmacklich echt super, wobei ich es fraglich finde, auf der einen Seite auf vegan zu machen und auf der anderen Seite massenhaft Tiere abzuschlachten und auszubeuten. Das ist doppelmoralisch und kriege ich nicht zusammen. Aber was soll man schon erwarten... Steckt ja eh nur Profitgier hinter. Und dieser ganze Plastikwahn ist echt ne Katastrophe. Ich weiß, dass das bei Lebensmitteln nicht so einfach ist, darauf zu verzichten wie in anderen Bereichen, aber dennoch. Die Zielgruppe, die vegan kauft, lehnt in den meisten Fällen auch Plastikwahn ab und naja... Wir haben halt ein riesiges Problem und es wäre schon verantwortungsvoll, wenn ihr da auch dran arbeitet. sollte das Schlachten und Ausbeuten sein lassen und komplett auf vegan umstellen, sodass man sich auch damit blicken lassen kann und sich nicht hinter greenwashing verstecken muss. Auch wenn ich den Versuch gut finde und die Produkte die leckersten am Markt sind. Aber einem Fleischproduzenten spielt man nicjt s","geschmack echt sup , wobei fraglich find , seit vegan seit massenhaft tier abzuschlacht auszubeut . doppelmoral krieg nicht zusamm . schon erwart ... steckt ja eh profitgi . ganz plastikwahn echt ne katastroph . weiss , lebensmitteln nicht einfach , darauf verzicht bereich , dennoch . zielgrupp , vegan kauft , lehnt meist fall plastikwahn ab naja ... halt riesig probl war schon verantwortungsvoll , dran arbeitet . schlacht ausbeut lass komplett vegan umstell , sodass blick lass nicht greenwashing versteck . versuch gut find produkt leckerst markt . fleischproduzent spielt nicjt s",1
3062,Eure veganen Ersatzprodukte sind der WAHNSINN! Weiter so!!!!,vegan ersatzprodukt wahnsinn ! ! ! ! !,1
3063,"Eure vegane Produkte sind der Hammer! Ich habe noch nie so leckere und realistische Wurstersatz-Produkte gegessen wie eure. Ihr macht einen guten Job. Ich hoffe, dass in Zukunft weitere Produkte folgen werden ","vegan produkt hamm ! nie leck realist wurstersatz-produkt gegess . macht gut job . hoff , zukunft weit produkt folg",1
3064,"Ich liebe eure veganen Produkte  was ich aber richtig mega finden würde, wenn ihr mehr rein packen würdet. Bei der Salami oder dem Schinken Spicker mal auf jeden Fall 100 g oder 120 g  ist das evtl in Planung? Die 80 g sind immer gleich weg  und der Umwelt würde es auch extrem gut tun ","lieb vegan produkt richtig mega find , mehr rein pack wurdet . salami schink spick fall 100 g 120 g evtl planung ? 80 g imm gleich umwelt extr gut tun",1
3068,Eure veganen und vegetarischen Produkte schmecken sogar Leuten die Fleisch essen ,vegan vegetar produkt schmeck sogar leut fleisch ess,1
3070,Endlich ist eure Salami vegan ,endlich salami vegan,1
3071,Ich liebe eure veganen Produkte sind alle super lecker  ein Veganer Kochschinken oder Kassler waren noch ne schöne Erweiterung im Sortiment  und weniger Verpackung wäre noch toll ,lieb vegan produkt sup leck vegan kochschink kassl ne schon erweiter sortiment wenig verpack war toll,1
3072,"Verpackung ist ein gutes Thema: ich fände es zum Beispiel super, wenn ihr eure veganen Produkte auch in Großpackungen anbieten würdet. Wenn ich mir ein Ersatzprodukt „gönnen“ möchte, finde ich es schade, dass für beispielsweise 80g Salami so viel Müll anfällt. Die vegane Version kommt wie ihr wisst sehr gut an, da würde es auf jeden Fall viele Abnehmer der Großpackungen geben! Auch die Verpackung teilweise durch Pappe (für die Stabilität) zu ersetzen, finde ich einen guten Ansatz. Abschließend möchte ich euch als Firma noch einmal explizit loben, dass ihr euch so dahinter setzt, euch weiterzuentwickeln (nicht nur was die Ersatzprodukte angeht), denn weitermachen wie bisher können wir einfach nicht. Das macht euch neben Like Meat zu meinen absoluten Favouriten. Und mein Mann ist euch für die Salami in Veganer Form unendlich dankbar, für ihn ist ein Kindheitstraum wahr geworden ","verpack gut thema : fand beispiel sup , vegan produkt grosspack anbiet wurdet . ersatzprodukt „ gonn “ mocht , find schad , beispielsweis 80g salami mull anfallt . vegan version kommt wisst sehr gut , fall viel abnehm grosspack geb ! verpack teilweis papp ( stabilitat ) ersetz , find gut ansatz . abschliess mocht firma explizit lob , dahint setzt , weiterzuentwickeln ( nicht ersatzprodukt angeht ) , weitermach bish einfach nicht . macht neb lik meat absolut favourit . mann salami vegan form unend dankbar , kindheitstraum wahr geword",1
3073,Wir lieben eure veganen Produkte.  Macht weiter so.,lieb vegan produkt . macht .,1
3074,Eure Produkte sind toll! Warum gibt es aber eure vegane Teewurst nicht mehr?hab sie schon seit Monaten nicht mehr in den Läden ( in Berlin) entdeckt.,produkt toll ! warum gibt vegan teewurst nicht mehr ? schon seit monat nicht mehr lad ( berlin ) entdeckt .,1
3075,Ihr könntet mal anstatt vegetarisch und vegan zu haben komplett auf vegan Umstellen. ,konntet anstatt vegetar vegan komplett vegan umstell .,1
3077,"Ich wünsche euch mehr und mehr wachstum und Erfolg, auf das ihr irgendwann keine fleischprodukte mehr verkauft. Ich bin süchtig nach den mühlen grillern. Ich habe schon so viele fleischesser damit geflasht. Es gibt grundsätzlich immer mühlen griller, hack, schinken spicker in meinem kühlschrank. Die salami ist jetzt auch eingezogen seit sie vegan ist denn sie schmeckt super!!!","wunsch mehr mehr wachstum erfolg , irgendwann fleischprodukt mehr verkauft . suchtig muhl grill . schon viel fleischess geflasht . gibt grundsatz imm muhl grill , hack , schink spick kuhlschrank . salami eingezog seit vegan schmeckt sup ! ! !",1
