,comments,clean_comments,prediction
7760,hab ich beides sofort probiert aber kam jetzt erst dazu etwas zu schreiben! ich fand beides suuuper lecker! habs meinen eltern (beide essen fleisch) auf den teller gepackt und sie konnten nichtmal erraten dass es vegan ist! nur zu empfehlen!,beid sofort probiert kam erst schreib ! fand beid suuup leck ! hab elt ( beid ess fleisch ) tell gepackt konnt nichtmal errat vegan ! empfehl !,1
7767,Klasse vielen Dank das ihr so viele Produkte schon auf vegan umstellt ich freu mich rießig und bin gespannt wie es schmeckt wird die Tage probiert  weiter so!!!! ,klass viel dank viel produkt schon vegan umstellt freu riessig gespannt schmeckt tag probiert ! ! ! !,1
7790,"Auf das Geschnetzelte freue ich mich besonders  und super, alle neuen Sorten vegan ","geschnetzelt freu besond sup , neu sort vegan",1
7815,Ihr seid die besten!!  Gleich drei neue vegane Produkte,seid best ! ! gleich drei neu vegan produkt,1
7824,"Bin soo happy darüber!! Bewege mich gerade etwas mehr in Richtung vegan und war schon ganz traurig, auf eure Produkte verzichten zu müssen  super, danke!","soo happy darub ! ! beweg gerad mehr richtung vegan schon ganz traurig , produkt verzicht muss sup , dank !",1
7830,Ahhhhhhhhhhhhhhh! Das vegane Rinder Steak werde ich mir sofort holen wenn ich es im Supermarkt sehe,ahhhhhhhhhhhhhhh ! vegan rind steak sofort hol supermarkt seh,1
7831,Geeeeil!!! Muss ich mir sofort holen  und sogar vegan  schmeckt bestimmt eh super,geeeeil ! ! ! sofort hol sogar vegan schmeckt bestimmt eh sup,1
7833,Wie cool!!! Drei neue vegane Produkte  ich freue mich aufs probieren ,cool ! ! ! drei neu vegan produkt freu auf probi,1
7841,Super wird probiert . Wird eigentlich eure vegetarische wurstauflage auch bald vegan ?,sup probiert . eigent vegetar wurstauflag bald vegan ?,1
7842,"Wenn ihr jetzt noch aufhören würdet, tierische Produkte rauszubringen wäre das noch viel viel besser  ich freue mich die neuen veganen Varianten zu probieren ","aufhor wurdet , tierisch produkt rauszubring war bess freu neu vegan variant probi",1
7878,Die besten veganen nuggets ,best vegan nugget,1
7884,"oh lecker.. Die Nuggets sind sogar vegan, damit konnte ich schon ""punkten""..  Als Fleisch-Möger-und-aus-ethischen-Gründen-bewusst-Verzichter, ist das eine tolle und leckere Alternative  Danke für das Rezept ","oh leck .. nugget sogar vegan , konnt schon `` punkt '' .. fleisch-moger-und-aus-ethischen-grunden-bewusst-verzicht , toll leck alternativ dank rezept",1
7886,"Habt ihr eigentlich immer noch vor aus der Fleischindustrie auszusteigen, wenn der Umsatz durch vegane Produkte hoch genug ist? Habt ihr das als Ziel?","habt eigent imm fleischindustri auszusteig , umsatz vegan produkt hoch genug ? habt ziel ?",1
7901,"Erst verrühren, dann verführen: Mit der veganen #lasagne von schmilzt dein nächstes Tinder-Date garantiert dahin.  Koch-Show mit Alex verpasst? Jetzt auf IGTV!  #rügenwalder #rezeptideen #vegan #lasagnalovers #dontworrybeflexi","erst verruhr , verfuhr : vegan # lasagn schmilzt nach tinder-dat garantiert dahin . koch-show alex verpasst ? igtv ! # rugenwald # rezeptide # vegan # lasagnalov # dontworrybeflexi",1
7919,"welchen veganen Käse benutzt du für die Lasagne? Wir haben schon einige Varianten ausprobiert, aber irgendwie wird das alles nicht so schön kross wie beim normalen Käse.","vegan kas benutzt lasagn ? schon variant ausprobiert , irgendwi nicht schon kross beim normal kas .",1
7923,vegan ,vegan,1
7932," Ich finde es so so super, dass ihr so viele und dann auch noch so leckere vegetarische und vegane Produkte anbietet!","find sup , viel leck vegetar vegan produkt anbietet !",1
7964,"Macht bitte so weiter! Ich finde es klasse, dass Ihr Euch mit der Problematik des Fleischkonsums auseinandersetzt und verstärkt mehr vegetarisch/ vegane Produkte anbietet, die wirklich super lecker sind! Ich sehe hier den positiven Aspekt und werde Euch auch weiterhin unterstützen und hoffe, dass Ihr bald NUR noch leidfreie Produkte anbieten könnt ","macht bitt ! find klass , problemat fleischkonsum auseinandersetzt verstarkt mehr vegetarisch/ vegan produkt anbietet , wirklich sup leck ! seh positiv aspekt weiterhin unterstutz hoff , bald leidfrei produkt anbiet konnt",1
7965,Mega cool. Eure veganen Produkte sind echt Klasse  Weiter so. Bald gibt es einen Post dazu auf meiner Seite :),mega cool . vegan produkt echt klass . bald gibt post seit : ),1
7968,Was ist jetzt vegan??!?!?,vegan ? ? ! ? ! ?,1
7969,"Meine Kids lieben eure Würstchen und den vegetarischen Schinken Spicker, ich bin großer Fan von dem veganen Aufschnitt. Danke und weiter so","kid lieb wurstch vegetar schink spick , gross fan vegan aufschnitt . dank",1
7970,2019 is(s)t und bleibt Tierfeei - ich liebe eure veganen Produkte,2019 is ( s ) t bleibt tierfeei - lieb vegan produkt,1
7978,"Weniger Fleisch essen  Und generell weniger tierische Produkte! Es wäre klasse, wenn Euer Aufschnitt auch vegan wäre. Der ist so lecker ","wenig fleisch ess generell wenig tierisch produkt ! war klass , aufschnitt vegan war . leck",1
7981,Genau die probiere ich gerade und bin erschrocken wie gut die ist! Hab nochmal nachgeschaut ob die auch wirklich vegan ist hahaha mega!!! ,genau probi gerad erschrock gut ! nochmal nachgeschaut wirklich vegan hahaha mega ! ! !,1
7985,"mich irritiert, dass zwei verschiedene Begriffe drauf stehen. Vegetarisch und vegan. Gibt's dafür nen Grund? Ansonsten mega lecker. Wird immer wieder nachgekauft","irritiert , zwei verschied begriff drauf steh . vegetar vegan . gibt 's dafur nen grund ? anson mega leck . imm nachgekauft",1
7991,Ab wann habt ihr vegane Salami im Sortiment? Darauf warte ich sehnsüchtig!,ab wann habt vegan salami sortiment ? darauf wart sehnsucht !,1
7992,bitte macht den fleischsalat vegan ,bitt macht fleischsalat vegan,1
7995,"leider nicht ganz mein Fall, aber vielen vielen Dank fürs Vormachen und Ausprobieren :-) gerne auch in vegan","leid nicht ganz fall , viel viel dank fur vormach ausprobi : - ) gern vegan",1
8010,"Es wäre so toll, wenn ihr die bockwürstchen bald veganisiert. ","war toll , bockwurstch bald veganisiert .",1
8012,Wäre spitze wenn es die auch in einer veganen Version gäbe! :),war spitz vegan version gab ! : ),1
8019,Sorry aber why Butter und Käse zu einem veganem Produkt verwenden? Mit veganem Reibekäse und Sojola wird das aber sicher grossartig denn euer Hack ist wunddrbar,sorry why butt kas vegan produkt verwend ? vegan reibekas sojola sich grossart hack wunddrbar,1
8051,"Ihr seid so klasse leute! bitte macht weiter so, evtl kommen ja auch noch ein paar vegane alternativen 2019 die andere vegane fleischersatzprodukte um längen schlagen werden. Eure vegane wurst ist super. Und die vegetarischen produkte liebe ich auch! mehr davon alles gute für 2019!","seid klass leut ! bitt macht , evtl komm ja paar vegan alternativ 2019 vegan fleischersatzprodukt lang schlag . vegan wurst sup . vegetar produkt lieb ! mehr davon gut 2019 !",1
8054,"Jaa, vegane Produkte wären super! Da warte ich schon lang drauf","jaa , vegan produkt war sup ! wart schon lang drauf",1
8055,#veganfortheanimals ,# veganfortheanimal,1
8067,#weltvegantag #worldveganday #vegansofinstagram #rügenwaldermühle #ruegenwaldermuehle #rügenwalder #ruegenwalder #vegan #veganwerden #veganwerdenwaslosdigga #rügenwaldermühlevegan #ohnefleisch #dontworrybeflexi #fürjedenwasdabei,# weltvegantag # worldveganday # vegansofinstagram # rugenwaldermuhl # ruegenwaldermuehl # rugenwald # ruegenwald # vegan # veganwerd # veganwerdenwaslosdigga # rugenwaldermuhlevegan # ohnefleisch # dontworrybeflexi # furjedenwasdabei,1
8073,"Mehr vegan, bitte!","mehr vegan , bitt !",1
